0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/assets/modules/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 69608
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/assets/modules/fontawesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 14844
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/assets/fonts/nunito-v9-latin-700.woff2 HTTP/1.1" 200 19748
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/assets/fonts/nunito-v9-latin-600.woff2 HTTP/1.1" 200 19708
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/assets/fonts/nunito-v9-latin-regular.woff2 HTTP/1.1" 200 19600
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/heeyeon/images/logo.svg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:02 +0900] "GET /good/assets/modules/summernote/font/summernote.woff?e557617934c52ea068954af79ed7c221 HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/test.jsp HTTP/1.1" 200 43394
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/products/product-3-50.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/products/product-2-50.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-1.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-4.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/products/product-1-50.png HTTP/1.1" 404 876
